step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,70,70,70,2.373e-18,2.373e-18,9.201e-09,9.201e-09,-4.926940e-04,4.708174e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,69,69,69,1.802e-18,1.802e-18,9.169e-09,9.169e-09,-4.177142e-03,2.432940e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,63,63,63,1.850e-18,1.850e-18,9.641e-09,9.641e-09,-1.355075e-02,4.315238e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,60,60,60,9.276e-17,9.276e-17,9.917e-09,9.917e-09,-1.764999e-02,5.900521e+00,,,
20,1.000000e-02,0.0000000000e+00,1.3724915846e+03,0.0144,60,60,500,7.592e-17,1.609e-04,8.321e-09,4.727e+01,-9.512935e+04,6.856201e+03,,,
25,1.250000e-02,0.0000000000e+00,1.2868348548e+03,0.0336,59,59,59,2.263e-18,4.613e-03,8.620e-09,9.419e-09,-9.595976e+04,7.083328e+03,,,
30,1.500000e-02,0.0000000000e+00,1.1820983523e+03,0.0446,58,58,56,5.883e-17,4.507e-03,9.009e-09,8.799e-09,-9.612420e+04,6.975967e+03,,,
35,1.750000e-02,0.0000000000e+00,1.0998833456e+03,0.0524,58,58,55,2.346e-18,4.452e-03,7.464e-09,6.897e-09,-9.621127e+04,6.908648e+03,,,
39,1.950000e-02,0.0000000000e+00,1.0472668158e+03,0.0558,57,57,49,5.093e-17,4.423e-03,8.785e-09,7.880e-09,-9.625605e+04,6.872007e+03,,,
