step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,18,18,18,5.186e-17,5.186e-17,8.054e-09,8.054e-09,-5.181260e-10,4.009664e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,17,17,17,1.010e-16,1.010e-16,8.044e-09,8.044e-09,-4.210618e-08,1.657384e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,17,17,17,5.121e-17,5.121e-17,4.987e-09,4.987e-09,-1.081558e-08,2.400569e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,17,17,17,4.301e-17,4.301e-17,3.581e-09,3.581e-09,0.000000e+00,2.913621e+00,,,
20,1.000000e-02,0.0000000000e+00,4.0288099503e+06,0.0056,16,16,500,2.137e-17,4.419e-03,8.050e-09,1.472e+05,-1.632864e+07,3.149661e+08,,,
25,1.250000e-02,0.0000000000e+00,3.6633126545e+06,0.0140,16,16,17,1.102e-16,4.799e-03,6.547e-09,4.473e-09,-1.653744e+07,3.227027e+08,,,
30,1.500000e-02,0.0000000000e+00,3.3054513994e+06,0.0212,16,16,16,2.048e-17,4.769e-03,5.486e-09,4.628e-09,-1.649625e+07,3.230567e+08,,,
35,1.750000e-02,0.0000000000e+00,3.0337923714e+06,0.0267,16,16,15,6.607e-17,4.759e-03,4.690e-09,6.582e-09,-1.646881e+07,3.231517e+08,,,
39,1.950000e-02,0.0000000000e+00,2.8608325360e+06,0.0306,16,16,15,9.382e-17,4.754e-03,4.180e-09,4.238e-09,-1.645756e+07,3.231840e+08,,,
