step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,80,80,80,2.363e-17,2.363e-17,7.978e-09,7.978e-09,-8.914461e-04,2.848874e-01,,,
5,2.500000e-03,0.0000000000e+00,2.3209724806e-12,0.0170,74,74,74,6.801e-17,2.487e-17,8.577e-09,8.577e-09,-8.781968e-03,1.275382e+00,,,
10,5.000000e-03,0.0000000000e+00,2.6319902937e-12,0.0229,73,73,73,1.881e-17,8.251e-17,6.836e-09,6.836e-09,-1.733936e-02,1.885670e+00,,,
15,7.500000e-03,0.0000000000e+00,4.8779337410e-12,0.0319,71,71,71,6.344e-17,6.344e-17,9.555e-09,9.555e-09,-2.323380e-02,2.475218e+00,,,
20,1.000000e-02,0.0000000000e+00,1.8375196359e-12,0.0534,70,70,70,1.071e-16,1.959e-17,8.616e-09,8.616e-09,-3.840097e-02,2.909829e+00,,,
25,1.250000e-02,0.0000000000e+00,2.7377327053e-12,0.0489,69,69,69,1.902e-16,3.479e-17,8.101e-09,8.101e-09,-4.886193e-02,3.235271e+00,,,
30,1.500000e-02,0.0000000000e+00,3.0377359998e-12,0.0512,67,67,67,8.708e-17,1.742e-16,9.918e-09,9.918e-09,-5.055692e-02,3.483054e+00,,,
35,1.750000e-02,0.0000000000e+00,2.8033962085e-12,0.0567,67,67,67,1.628e-16,2.127e-17,7.707e-09,7.707e-09,-4.328908e-02,3.674342e+00,,,
39,1.950000e-02,0.0000000000e+00,2.3397685755e-12,0.0632,66,66,66,1.538e-17,2.851e-17,8.793e-09,8.793e-09,-3.930662e-02,3.796625e+00,,,
