step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,70,70,70,2.373e-18,2.373e-18,9.201e-09,9.201e-09,-4.926940e-04,4.708174e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,69,69,69,1.802e-18,1.802e-18,9.169e-09,9.169e-09,-4.177142e-03,2.432940e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,63,63,63,1.850e-18,1.850e-18,9.641e-09,9.641e-09,-1.355075e-02,4.315238e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,60,60,60,9.276e-17,9.276e-17,9.917e-09,9.917e-09,-1.764999e-02,5.900521e+00,,,
20,1.000000e-02,0.0000000000e+00,1.7837698345e-02,0.0143,60,60,500,7.592e-17,1.609e-04,8.321e-09,2.452e-04,-1.442313e-02,7.206710e+00,,,
25,1.250000e-02,0.0000000000e+00,1.6724587568e-02,0.0339,59,59,59,2.263e-18,7.853e-05,8.620e-09,8.586e-09,-1.795251e-02,8.279182e+00,,,
30,1.500000e-02,0.0000000000e+00,1.5362731631e-02,0.0450,58,58,58,5.883e-17,7.033e-05,9.009e-09,9.002e-09,-2.424746e-02,9.163345e+00,,,
35,1.750000e-02,0.0000000000e+00,1.4293866043e-02,0.0525,58,58,58,2.346e-18,6.447e-05,7.464e-09,7.463e-09,-2.797227e-02,9.921129e+00,,,
39,1.950000e-02,0.0000000000e+00,1.3609896718e-02,0.0561,57,57,57,5.093e-17,6.088e-05,8.785e-09,8.786e-09,-3.027913e-02,1.043510e+01,,,
