step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,18,18,18,2.737e-17,2.737e-17,4.434e-09,4.434e-09,0.000000e+00,4.369245e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,4.855e-17,4.855e-17,8.327e-09,8.327e-09,0.000000e+00,2.058178e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,1.089e-16,1.089e-16,6.450e-09,6.450e-09,0.000000e+00,3.095196e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,3.451e-17,3.451e-17,5.038e-09,5.038e-09,0.000000e+00,3.812196e+00,,,
20,1.000000e-02,0.0000000000e+00,8.4628764442e+07,0.0018,16,16,500,5.646e-17,4.955e-03,4.102e-09,1.735e+04,-7.060388e+09,4.495999e+08,,,
25,1.250000e-02,0.0000000000e+00,7.5462730422e+07,0.0072,15,15,13,8.347e-17,5.693e-03,9.831e-09,5.467e-09,-7.081249e+09,5.724235e+08,,,
30,1.500000e-02,0.0000000000e+00,6.8035433395e+07,0.0108,15,15,13,9.259e-17,5.651e-03,8.453e-09,5.665e-09,-7.082912e+09,5.948257e+08,,,
35,1.750000e-02,0.0000000000e+00,6.2369468649e+07,0.0137,15,15,13,1.017e-16,5.636e-03,7.376e-09,5.104e-09,-7.083381e+09,6.004501e+08,,,
39,1.950000e-02,0.0000000000e+00,5.8752584016e+07,0.0152,15,15,13,7.440e-17,5.630e-03,6.666e-09,4.611e-09,-7.083518e+09,6.023138e+08,,,
