step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,70,70,70,2.120e-18,2.120e-18,9.201e-09,9.201e-09,-4.926940e-04,4.708174e-01,,,
5,2.500000e-03,0.0000000000e+00,9.8988655872e-13,0.0322,69,69,69,5.519e-17,5.519e-17,9.169e-09,9.169e-09,-4.177142e-03,2.432940e+00,,,
10,5.000000e-03,0.0000000000e+00,2.2939699706e-12,0.0514,63,63,63,2.052e-18,2.108e-18,9.641e-09,9.641e-09,-1.355075e-02,4.315238e+00,,,
15,7.500000e-03,0.0000000000e+00,1.6805654765e-12,0.0660,60,60,60,2.562e-18,1.550e-18,9.917e-09,9.917e-09,-1.764999e-02,5.900521e+00,,,
20,1.000000e-02,0.0000000000e+00,1.3594902575e-12,0.0764,60,60,60,2.247e-18,1.731e-18,8.321e-09,8.321e-09,-1.442567e-02,7.206710e+00,,,
25,1.250000e-02,0.0000000000e+00,1.1390029213e-12,0.0833,59,59,59,1.984e-18,1.787e-18,8.620e-09,8.620e-09,-1.786974e-02,8.279175e+00,,,
30,1.500000e-02,0.0000000000e+00,9.8763548256e-13,0.0873,58,58,58,2.254e-18,1.177e-16,9.009e-09,9.009e-09,-2.448659e-02,9.163336e+00,,,
35,1.750000e-02,0.0000000000e+00,8.6701449617e-13,0.0907,58,58,58,2.548e-18,3.855e-18,7.464e-09,7.464e-09,-2.866037e-02,9.921161e+00,,,
39,1.950000e-02,0.0000000000e+00,8.0505770219e-13,0.0912,57,57,57,1.752e-18,2.179e-18,8.785e-09,8.785e-09,-2.969666e-02,1.043516e+01,,,
