step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,18,18,18,2.593e-17,2.593e-17,8.054e-09,8.054e-09,-5.181260e-10,4.009664e-01,,,
5,2.500000e-03,0.0000000000e+00,1.1124436657e-12,0.0258,17,17,17,5.048e-17,1.555e-17,8.044e-09,8.044e-09,-4.210618e-08,1.657384e+00,,,
10,5.000000e-03,0.0000000000e+00,2.0762549039e-13,0.1271,17,17,17,5.121e-17,5.788e-17,4.987e-09,4.987e-09,-1.081558e-08,2.400569e+00,,,
15,7.500000e-03,0.0000000000e+00,8.9558480919e-14,0.2357,17,17,17,2.137e-17,2.137e-17,3.581e-09,3.581e-09,0.000000e+00,2.913621e+00,,,
20,1.000000e-02,0.0000000000e+00,5.0831589963e-14,0.3416,16,16,16,9.950e-17,9.950e-17,8.050e-09,8.050e-09,0.000000e+00,3.298753e+00,,,
25,1.250000e-02,0.0000000000e+00,3.3181991687e-14,0.4217,16,16,16,6.116e-17,3.734e-17,6.547e-09,6.547e-09,0.000000e+00,3.603010e+00,,,
30,1.500000e-02,0.0000000000e+00,2.3504828105e-14,0.5039,16,16,16,2.048e-17,2.048e-17,5.486e-09,5.486e-09,0.000000e+00,3.851843e+00,,,
35,1.750000e-02,0.0000000000e+00,1.7538549691e-14,0.5755,16,16,16,2.228e-17,1.321e-16,4.690e-09,4.690e-09,0.000000e+00,4.060511e+00,,,
39,1.950000e-02,0.0000000000e+00,1.4248165093e-14,0.6319,16,16,16,7.069e-17,4.752e-17,4.180e-09,4.180e-09,0.000000e+00,4.205241e+00,,,
