step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,18,18,18,2.737e-17,2.737e-17,4.434e-09,4.434e-09,0.000000e+00,4.369245e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,4.855e-17,4.855e-17,8.327e-09,8.327e-09,0.000000e+00,2.058178e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,1.089e-16,1.089e-16,6.450e-09,6.450e-09,0.000000e+00,3.095196e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,3.451e-17,3.451e-17,5.038e-09,5.038e-09,0.000000e+00,3.812196e+00,,,
20,1.000000e-02,0.0000000000e+00,9.5761957503e+03,0.0019,16,16,500,5.646e-17,4.843e-03,4.102e-09,1.353e+02,-7.996742e+05,6.183152e+04,,,
25,1.250000e-02,0.0000000000e+00,8.5593461353e+03,0.0068,15,15,15,8.347e-17,5.549e-03,9.831e-09,5.924e-09,-8.084016e+05,5.864083e+04,,,
30,1.500000e-02,0.0000000000e+00,7.7189263067e+03,0.0116,15,15,14,9.259e-17,5.506e-03,8.453e-09,3.979e-09,-8.088992e+05,6.166095e+04,,,
35,1.750000e-02,0.0000000000e+00,7.0782740645e+03,0.0157,15,15,13,1.017e-16,5.490e-03,7.376e-09,7.440e-09,-8.090177e+05,6.245556e+04,,,
39,1.950000e-02,0.0000000000e+00,6.6694012000e+03,0.0184,15,15,13,7.440e-17,5.483e-03,6.666e-09,7.250e-09,-8.090470e+05,6.273988e+04,,,
