step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,33,33,33,1.396e-17,1.396e-17,9.185e-09,9.185e-09,-4.410108e-07,3.529567e-01,,,
5,2.500000e-03,0.0000000000e+00,1.3897913816e+05,0.0045,31,31,29,2.866e-17,6.412e-03,6.934e-09,9.618e-09,-3.249028e+05,3.908383e+06,,,
10,5.000000e-03,0.0000000000e+00,8.8769976446e+04,0.0159,30,30,28,6.850e-17,6.358e-03,8.225e-09,5.606e-09,-4.215922e+05,3.880978e+06,,,
15,7.500000e-03,0.0000000000e+00,6.8575283354e+04,0.0257,30,30,27,4.762e-17,6.327e-03,5.775e-09,6.781e-09,-4.306286e+05,3.878222e+06,,,
20,1.000000e-02,0.0000000000e+00,5.7489738480e+04,0.0338,29,29,26,8.681e-17,6.312e-03,8.793e-09,9.381e-09,-4.327859e+05,3.877735e+06,,,
25,1.250000e-02,0.0000000000e+00,5.0417477321e+04,0.0397,29,29,26,2.622e-17,6.303e-03,6.984e-09,7.063e-09,-4.334728e+05,3.877738e+06,,,
30,1.500000e-02,0.0000000000e+00,4.5489191637e+04,0.0450,29,29,25,5.307e-17,6.297e-03,5.703e-09,9.854e-09,-4.337183e+05,3.877855e+06,,,
35,1.750000e-02,0.0000000000e+00,4.1851401339e+04,0.0491,28,28,25,8.852e-17,6.292e-03,9.643e-09,7.875e-09,-4.338068e+05,3.877986e+06,,,
39,1.950000e-02,0.0000000000e+00,3.9561961137e+04,0.0517,28,28,25,8.347e-17,6.290e-03,8.449e-09,6.691e-09,-4.338311e+05,3.878082e+06,,,
