step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,18,18,18,1.013e-17,1.013e-17,4.434e-09,4.434e-09,0.000000e+00,4.369245e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,4.396e-17,4.396e-17,8.327e-09,8.327e-09,0.000000e+00,2.058178e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,5.444e-17,5.444e-17,6.450e-09,6.450e-09,0.000000e+00,3.095196e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,6.453e-17,6.453e-17,5.038e-09,5.038e-09,0.000000e+00,3.812196e+00,,,
20,1.000000e-02,0.0000000000e+00,1.8881830688e-03,0.0055,16,16,16,2.905e-17,1.484e-17,4.102e-09,4.551e-09,0.000000e+00,4.342355e+00,,,
25,1.250000e-02,0.0000000000e+00,3.0002882532e-04,0.0757,15,15,15,8.347e-17,4.873e-17,9.831e-09,9.831e-09,0.000000e+00,4.753899e+00,,,
30,1.500000e-02,0.0000000000e+00,1.5639317969e-04,0.1552,15,15,15,9.259e-17,3.514e-17,8.453e-09,8.453e-09,0.000000e+00,5.085075e+00,,,
35,1.750000e-02,0.0000000000e+00,9.9284696689e-05,0.2288,15,15,15,9.309e-17,1.017e-16,7.376e-09,7.376e-09,0.000000e+00,5.358982e+00,,,
39,1.950000e-02,0.0000000000e+00,7.3902651084e-05,0.2871,15,15,15,7.440e-17,7.440e-17,6.666e-09,6.666e-09,0.000000e+00,5.546997e+00,,,
