step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,18,18,18,5.186e-17,5.186e-17,8.054e-09,8.054e-09,-5.181260e-10,4.009664e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,17,17,17,1.010e-16,1.010e-16,8.044e-09,8.044e-09,-4.210618e-08,1.657384e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,17,17,17,5.121e-17,5.121e-17,4.987e-09,4.987e-09,-1.081558e-08,2.400569e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,17,17,17,4.301e-17,4.301e-17,3.581e-09,3.581e-09,0.000000e+00,2.913621e+00,,,
20,1.000000e-02,0.0000000000e+00,3.5658106058e+04,0.0019,16,16,500,2.137e-17,5.633e-03,8.050e-09,5.294e+01,-2.785510e+06,1.416657e+05,,,
25,1.250000e-02,0.0000000000e+00,3.1096822775e+04,0.0102,16,16,16,1.102e-16,6.376e-03,6.547e-09,6.875e-09,-2.721084e+06,2.654102e+05,,,
30,1.500000e-02,0.0000000000e+00,2.8040680019e+04,0.0178,16,16,15,2.048e-17,6.344e-03,5.486e-09,8.374e-09,-2.715559e+06,2.782471e+05,,,
35,1.750000e-02,0.0000000000e+00,2.5738090480e+04,0.0240,16,16,15,6.607e-17,6.330e-03,4.690e-09,5.001e-09,-2.713710e+06,2.820437e+05,,,
39,1.950000e-02,0.0000000000e+00,2.4274059013e+04,0.0279,16,16,15,9.382e-17,6.323e-03,4.180e-09,3.684e-09,-2.713026e+06,2.834187e+05,,,
