step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,18,18,18,2.737e-17,2.737e-17,4.434e-09,4.434e-09,0.000000e+00,4.369245e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,4.855e-17,4.855e-17,8.327e-09,8.327e-09,0.000000e+00,2.058178e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,1.089e-16,1.089e-16,6.450e-09,6.450e-09,0.000000e+00,3.095196e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,3.451e-17,3.451e-17,5.038e-09,5.038e-09,0.000000e+00,3.812196e+00,,,
20,1.000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,5.646e-17,5.646e-17,4.102e-09,4.102e-09,0.000000e+00,4.342355e+00,,,
25,1.250000e-02,0.0000000000e+00,0.0000000000e+00,0.0000,15,15,15,8.347e-17,8.347e-17,9.831e-09,9.831e-09,0.000000e+00,4.753899e+00,,,
30,1.500000e-02,0.0000000000e+00,0.0000000000e+00,0.0000,15,15,15,9.259e-17,9.259e-17,8.453e-09,8.453e-09,0.000000e+00,5.085075e+00,,,
35,1.750000e-02,0.0000000000e+00,0.0000000000e+00,0.0000,15,15,15,1.017e-16,1.017e-16,7.376e-09,7.376e-09,0.000000e+00,5.358980e+00,,,
39,1.950000e-02,0.0000000000e+00,2.5825162308e+05,0.0090,15,15,15,7.440e-17,5.670e-03,6.666e-09,8.325e-09,-2.956766e+06,3.109113e+07,,,
