step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,70,70,70,2.373e-18,2.373e-18,9.201e-09,9.201e-09,-4.926940e-04,4.708174e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,69,69,69,1.802e-18,1.802e-18,9.169e-09,9.169e-09,-4.177142e-03,2.432940e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,63,63,63,1.850e-18,1.850e-18,9.641e-09,9.641e-09,-1.355075e-02,4.315238e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,60,60,60,9.276e-17,9.276e-17,9.917e-09,9.917e-09,-1.764999e-02,5.900521e+00,,,
20,1.000000e-02,0.0000000000e+00,1.8889465427e+04,0.0029,60,60,500,7.592e-17,1.762e-04,8.321e-09,3.232e+02,-1.375271e+06,6.270995e+04,,,
25,1.250000e-02,0.0000000000e+00,1.7058238867e+04,0.0130,59,59,59,2.263e-18,5.224e-03,8.620e-09,9.130e-09,-1.395745e+06,9.427953e+04,,,
30,1.500000e-02,0.0000000000e+00,1.5433729111e+04,0.0197,58,58,57,5.883e-17,5.192e-03,9.009e-09,9.578e-09,-1.397379e+06,9.415103e+04,,,
35,1.750000e-02,0.0000000000e+00,1.4231130618e+04,0.0240,58,58,54,2.346e-18,5.179e-03,7.464e-09,8.584e-09,-1.397951e+06,9.392985e+04,,,
39,1.950000e-02,0.0000000000e+00,1.3482172697e+04,0.0267,57,57,53,5.093e-17,5.174e-03,8.785e-09,8.336e-09,-1.398185e+06,9.382905e+04,,,
