step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,70,70,70,2.120e-18,2.120e-18,9.201e-09,9.201e-09,-4.926940e-04,4.708174e-01,,,
5,2.500000e-03,0.0000000000e+00,4.3057344584e-03,0.0060,69,69,69,5.519e-17,2.560e-18,9.169e-09,9.170e-09,-4.177142e-03,2.432940e+00,,,
10,5.000000e-03,0.0000000000e+00,1.0243880804e-03,0.0301,63,63,63,2.052e-18,1.257e-16,9.641e-09,9.642e-09,-1.355075e-02,4.315238e+00,,,
15,7.500000e-03,0.0000000000e+00,5.0137817680e-04,0.0864,60,60,60,2.562e-18,1.781e-18,9.917e-09,9.917e-09,-1.765008e-02,5.900521e+00,,,
20,1.000000e-02,0.0000000000e+00,3.0607809764e-04,0.1612,60,60,60,2.247e-18,2.271e-18,8.321e-09,8.320e-09,-1.442579e-02,7.206711e+00,,,
25,1.250000e-02,0.0000000000e+00,2.0831987282e-04,0.2160,59,59,59,1.984e-18,2.145e-18,8.620e-09,8.620e-09,-1.786980e-02,8.279177e+00,,,
30,1.500000e-02,0.0000000000e+00,1.5134792469e-04,0.2572,58,58,58,2.254e-18,5.883e-17,9.009e-09,9.009e-09,-2.448674e-02,9.163339e+00,,,
35,1.750000e-02,0.0000000000e+00,1.1493177217e-04,0.2898,58,58,58,2.548e-18,1.761e-18,7.464e-09,7.464e-09,-2.866063e-02,9.921166e+00,,,
39,1.950000e-02,0.0000000000e+00,9.4426047835e-05,0.3141,57,57,57,1.752e-18,5.093e-17,8.785e-09,8.785e-09,-2.969701e-02,1.043517e+01,,,
