step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,80,80,80,2.363e-17,2.363e-17,7.977e-09,7.977e-09,-8.914461e-04,2.848874e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,74,74,74,1.903e-17,1.903e-17,8.577e-09,8.577e-09,-8.781968e-03,1.275382e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,73,73,73,2.184e-17,2.184e-17,6.836e-09,6.836e-09,-1.733936e-02,1.885670e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,71,71,71,2.321e-17,2.321e-17,9.555e-09,9.555e-09,-2.323380e-02,2.475218e+00,,,
20,1.000000e-02,0.0000000000e+00,1.9477609067e+01,0.0185,70,70,500,1.532e-17,1.726e-03,8.616e-09,2.597e+00,-9.471588e+02,1.428150e+02,,,
25,1.250000e-02,0.0000000000e+00,1.7838337777e+01,0.0301,69,69,66,9.511e-17,9.378e-03,8.101e-09,9.696e-09,-8.555953e+02,3.191990e+02,,,
30,1.500000e-02,0.0000000000e+00,1.6857259783e+01,0.0436,67,67,63,1.798e-17,9.064e-03,9.918e-09,7.447e-09,-8.512157e+02,3.431132e+02,,,
35,1.750000e-02,0.0000000000e+00,1.5995158126e+01,0.0508,67,67,62,8.139e-17,8.934e-03,7.707e-09,7.993e-09,-8.498956e+02,3.500806e+02,,,
39,1.950000e-02,0.0000000000e+00,1.5425636537e+01,0.0541,66,66,61,7.794e-17,8.877e-03,8.793e-09,8.872e-09,-8.493948e+02,3.525268e+02,,,
