step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,31,31,31,9.163e-18,9.163e-18,7.444e-09,7.444e-09,-2.642014e-07,4.427835e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,29,29,29,1.841e-17,1.841e-17,6.792e-09,6.792e-09,-2.988461e-05,2.142645e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,29,29,29,5.707e-17,5.707e-17,6.125e-09,6.125e-09,-1.382189e-04,3.387267e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,28,28,28,8.443e-17,8.443e-17,9.026e-09,9.026e-09,-1.818067e-04,4.287624e+00,,,
20,1.000000e-02,0.0000000000e+00,1.1224793825e+04,0.0017,28,28,500,6.918e-17,3.992e-03,8.029e-09,2.562e+01,-6.579290e+04,8.901956e+05,,,
25,1.250000e-02,0.0000000000e+00,9.2931181256e+03,0.0055,28,28,24,5.982e-17,7.101e-03,7.069e-09,7.354e-09,-1.025553e+05,8.322324e+05,,,
30,1.500000e-02,0.0000000000e+00,8.4042365863e+03,0.0094,28,28,23,5.280e-17,7.046e-03,6.192e-09,6.687e-09,-1.225337e+05,8.273352e+05,,,
35,1.750000e-02,0.0000000000e+00,7.7339038030e+03,0.0127,27,27,22,1.289e-17,7.012e-03,8.814e-09,9.711e-09,-1.297106e+05,8.254709e+05,,,
39,1.950000e-02,0.0000000000e+00,7.3061882990e+03,0.0150,27,27,22,9.178e-17,6.995e-03,7.958e-09,8.806e-09,-1.326295e+05,8.246660e+05,,,
