step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,70,70,70,2.120e-18,2.120e-18,9.201e-09,9.201e-09,-4.926940e-04,4.708174e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,69,69,69,5.519e-17,5.519e-17,9.169e-09,9.169e-09,-4.177142e-03,2.432940e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,63,63,63,2.052e-18,2.052e-18,9.641e-09,9.641e-09,-1.355075e-02,4.315238e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,60,60,60,2.562e-18,2.562e-18,9.917e-09,9.917e-09,-1.764999e-02,5.900521e+00,,,
20,1.000000e-02,0.0000000000e+00,1.9694450020e-04,0.0359,60,60,60,2.247e-18,4.959e-07,8.321e-09,2.428e-03,-1.442567e-02,7.206710e+00,,,
25,1.250000e-02,0.0000000000e+00,3.4337470294e-05,0.2713,59,59,59,1.984e-18,1.766e-18,8.620e-09,8.621e-09,-1.786972e-02,8.279174e+00,,,
30,1.500000e-02,0.0000000000e+00,1.9714594107e-05,0.3889,58,58,58,2.254e-18,5.883e-17,9.009e-09,9.010e-09,-2.448660e-02,9.163336e+00,,,
35,1.750000e-02,0.0000000000e+00,1.3355817487e-05,0.4837,58,58,58,2.548e-18,1.997e-18,7.464e-09,7.464e-09,-2.866055e-02,9.921164e+00,,,
39,1.950000e-02,0.0000000000e+00,1.0399464351e-05,0.5407,57,57,57,1.752e-18,2.122e-18,8.785e-09,8.785e-09,-2.969702e-02,1.043517e+01,,,
