step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,18,18,18,5.186e-17,5.186e-17,8.054e-09,8.054e-09,-5.181260e-10,4.009664e-01,,,
5,2.500000e-03,0.0000000000e+00,1.6545640847e+13,0.0055,17,17,19,1.010e-16,4.995e-03,8.044e-09,3.873e-09,-2.459194e+13,5.069558e+14,,,
10,5.000000e-03,0.0000000000e+00,1.0482103572e+13,0.0153,17,17,16,5.121e-17,4.790e-03,4.987e-09,5.518e-09,-2.618628e+13,5.108958e+14,,,
15,7.500000e-03,0.0000000000e+00,8.0307003604e+12,0.0225,17,17,15,4.301e-17,4.767e-03,3.581e-09,5.827e-09,-2.611087e+13,5.113090e+14,,,
20,1.000000e-02,0.0000000000e+00,6.6936860026e+12,0.0275,16,16,14,2.137e-17,4.758e-03,8.050e-09,9.462e-09,-2.607021e+13,5.114344e+14,,,
25,1.250000e-02,0.0000000000e+00,5.8432146602e+12,0.0324,16,16,14,1.102e-16,4.753e-03,6.547e-09,6.640e-09,-2.605009e+13,5.114875e+14,,,
30,1.500000e-02,0.0000000000e+00,5.2504964416e+12,0.0358,16,16,14,2.048e-17,4.750e-03,5.486e-09,4.674e-09,-2.603984e+13,5.115139e+14,,,
35,1.750000e-02,0.0000000000e+00,4.8118940138e+12,0.0388,16,16,13,6.607e-17,4.747e-03,4.690e-09,7.608e-09,-2.603463e+13,5.115284e+14,,,
39,1.950000e-02,0.0000000000e+00,4.5348112883e+12,0.0407,16,16,13,9.382e-17,4.746e-03,4.180e-09,6.074e-09,-2.603245e+13,5.115354e+14,,,
