step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,80,80,80,2.363e-17,2.363e-17,7.977e-09,7.977e-09,-8.914461e-04,2.848874e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,74,74,74,1.903e-17,1.903e-17,8.577e-09,8.577e-09,-8.781968e-03,1.275382e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,73,73,73,2.184e-17,2.184e-17,6.836e-09,6.836e-09,-1.733936e-02,1.885670e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,71,71,71,2.321e-17,2.321e-17,9.555e-09,9.555e-09,-2.323380e-02,2.475218e+00,,,
20,1.000000e-02,0.0000000000e+00,5.3764463364e+02,0.0504,70,70,500,1.532e-17,1.061e-03,8.616e-09,1.307e+02,-4.380857e+03,2.504799e+04,,,
25,1.250000e-02,0.0000000000e+00,5.2904104308e+02,0.0894,69,69,68,9.511e-17,5.320e-03,8.101e-09,8.036e-09,-4.797669e+03,2.493179e+04,,,
30,1.500000e-02,0.0000000000e+00,4.9928716228e+02,0.1266,67,67,66,1.798e-17,5.160e-03,9.918e-09,9.640e-09,-4.830636e+03,2.490305e+04,,,
35,1.750000e-02,0.0000000000e+00,4.7464049679e+02,0.1530,67,67,65,8.139e-17,5.083e-03,7.707e-09,9.989e-09,-4.846872e+03,2.488735e+04,,,
39,1.950000e-02,0.0000000000e+00,4.5882851019e+02,0.1682,66,66,65,7.794e-17,5.043e-03,8.793e-09,8.653e-09,-4.854891e+03,2.487934e+04,,,
