step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,80,80,80,2.363e-17,2.363e-17,7.977e-09,7.977e-09,-8.914461e-04,2.848874e-01,,,
5,2.500000e-03,0.0000000000e+00,4.3137762981e+06,0.0371,74,74,77,1.903e-17,6.546e-03,8.577e-09,8.714e-09,-8.685883e+07,1.730421e+07,,,
10,5.000000e-03,0.0000000000e+00,2.9284754253e+06,0.0604,73,73,69,2.184e-17,6.126e-03,6.836e-09,8.124e-09,-8.720517e+07,1.737446e+07,,,
15,7.500000e-03,0.0000000000e+00,2.3357984437e+06,0.0803,71,71,66,2.321e-17,6.039e-03,9.555e-09,9.345e-09,-8.727575e+07,1.732417e+07,,,
20,1.000000e-02,0.0000000000e+00,2.0088053645e+06,0.0948,70,70,64,1.532e-17,5.998e-03,8.616e-09,8.210e-09,-8.729734e+07,1.730917e+07,,,
25,1.250000e-02,0.0000000000e+00,1.8029015553e+06,0.1076,69,69,62,9.511e-17,5.974e-03,8.101e-09,7.832e-09,-8.730670e+07,1.730294e+07,,,
30,1.500000e-02,0.0000000000e+00,1.6626252500e+06,0.1203,67,67,60,1.798e-17,5.959e-03,9.918e-09,9.374e-09,-8.731214e+07,1.729922e+07,,,
35,1.750000e-02,0.0000000000e+00,1.5619380438e+06,0.1305,67,67,59,8.139e-17,5.948e-03,7.707e-09,8.585e-09,-8.731604e+07,1.729635e+07,,,
39,1.950000e-02,0.0000000000e+00,1.5003297461e+06,0.1376,66,66,58,7.794e-17,5.941e-03,8.793e-09,8.173e-09,-8.731861e+07,1.729434e+07,,,
