step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,18,18,18,1.013e-17,1.013e-17,4.434e-09,4.434e-09,0.000000e+00,4.369245e-01,,,
5,2.500000e-03,0.0000000000e+00,7.6500162939e-04,0.0180,16,16,16,4.396e-17,4.855e-17,8.327e-09,9.315e-09,-2.618595e-03,2.058178e+00,,,
10,5.000000e-03,0.0000000000e+00,1.4633608286e-04,0.1166,16,16,16,5.444e-17,2.223e-17,6.450e-09,6.449e-09,0.000000e+00,3.095195e+00,,,
15,7.500000e-03,0.0000000000e+00,7.3417379487e-05,0.2048,16,16,16,6.453e-17,1.177e-17,5.038e-09,5.038e-09,0.000000e+00,3.812195e+00,,,
20,1.000000e-02,0.0000000000e+00,4.5427845666e-05,0.2913,16,16,16,2.905e-17,6.634e-17,4.102e-09,4.102e-09,0.000000e+00,4.342352e+00,,,
25,1.250000e-02,0.0000000000e+00,3.0972431666e-05,0.3756,15,15,15,8.347e-17,8.347e-17,9.831e-09,9.831e-09,0.000000e+00,4.753893e+00,,,
30,1.500000e-02,0.0000000000e+00,2.2382320264e-05,0.4520,15,15,15,9.259e-17,5.107e-17,8.453e-09,8.453e-09,0.000000e+00,5.085067e+00,,,
35,1.750000e-02,0.0000000000e+00,1.6837191137e-05,0.5218,15,15,15,9.309e-17,9.309e-17,7.376e-09,7.376e-09,0.000000e+00,5.358972e+00,,,
39,1.950000e-02,0.0000000000e+00,1.3705474813e-05,0.5719,15,15,15,7.440e-17,4.059e-17,6.666e-09,6.666e-09,0.000000e+00,5.546985e+00,,,
