step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,18,18,18,2.737e-17,2.737e-17,4.434e-09,4.434e-09,0.000000e+00,4.369245e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,4.855e-17,4.855e-17,8.327e-09,8.327e-09,0.000000e+00,2.058178e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,1.089e-16,1.089e-16,6.450e-09,6.450e-09,0.000000e+00,3.095196e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,3.451e-17,3.451e-17,5.038e-09,5.038e-09,0.000000e+00,3.812196e+00,,,
20,1.000000e-02,0.0000000000e+00,1.1584380251e+06,0.0027,16,16,500,5.646e-17,4.936e-03,4.102e-09,1.248e+04,-9.612239e+07,5.768405e+06,,,
25,1.250000e-02,0.0000000000e+00,1.0430082361e+06,0.0127,15,15,15,8.347e-17,5.618e-03,9.831e-09,4.020e-09,-9.626572e+07,9.457626e+06,,,
30,1.500000e-02,0.0000000000e+00,9.4127572837e+05,0.0196,15,15,14,9.259e-17,5.570e-03,8.453e-09,4.747e-09,-9.624412e+07,9.664752e+06,,,
35,1.750000e-02,0.0000000000e+00,8.6336805394e+05,0.0250,15,15,13,1.017e-16,5.552e-03,7.376e-09,9.801e-09,-9.622385e+07,9.724752e+06,,,
39,1.950000e-02,0.0000000000e+00,8.1357471307e+05,0.0286,15,15,13,7.440e-17,5.544e-03,6.666e-09,7.355e-09,-9.621116e+07,9.748580e+06,,,
