step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,18,18,18,1.013e-17,1.013e-17,4.434e-09,4.434e-09,0.000000e+00,4.369245e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,4.396e-17,4.396e-17,8.327e-09,8.327e-09,0.000000e+00,2.058178e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,5.444e-17,5.444e-17,6.450e-09,6.450e-09,0.000000e+00,3.095196e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,6.453e-17,6.453e-17,5.038e-09,5.038e-09,0.000000e+00,3.812196e+00,,,
20,1.000000e-02,0.0000000000e+00,6.9582218732e-05,0.0044,16,16,16,2.905e-17,7.659e-07,4.102e-09,1.422e-04,0.000000e+00,4.342355e+00,,,
25,1.250000e-02,0.0000000000e+00,4.8564873150e-06,0.0982,15,15,15,8.347e-17,5.726e-17,9.831e-09,9.831e-09,0.000000e+00,4.753899e+00,,,
30,1.500000e-02,0.0000000000e+00,2.7419780480e-06,0.1875,15,15,15,9.259e-17,9.259e-17,8.453e-09,8.453e-09,0.000000e+00,5.085075e+00,,,
35,1.750000e-02,0.0000000000e+00,1.8439110852e-06,0.2741,15,15,15,9.309e-17,1.017e-16,7.376e-09,7.376e-09,0.000000e+00,5.358981e+00,,,
39,1.950000e-02,0.0000000000e+00,1.4153987235e-06,0.3421,15,15,15,7.440e-17,8.743e-17,6.666e-09,6.666e-09,0.000000e+00,5.546994e+00,,,
