step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,70,70,70,2.373e-18,2.373e-18,9.201e-09,9.201e-09,-4.926940e-04,4.708174e-01,,,
5,2.500000e-03,0.0000000000e+00,2.3214486806e-01,0.0009,69,69,69,1.802e-18,1.625e-03,9.169e-09,9.257e-09,-6.511925e+00,2.432941e+00,,,
10,5.000000e-03,0.0000000000e+00,1.3416276820e-01,0.0014,63,63,63,1.850e-18,9.513e-04,9.641e-09,9.646e-09,-6.191551e+00,4.315237e+00,,,
15,7.500000e-03,0.0000000000e+00,1.0045959189e-01,0.0015,60,60,60,9.276e-17,7.055e-04,9.917e-09,9.918e-09,-6.100045e+00,5.900521e+00,,,
20,1.000000e-02,0.0000000000e+00,8.3011477617e-02,0.0020,60,60,60,7.592e-17,5.785e-04,8.321e-09,8.321e-09,-6.059246e+00,7.206710e+00,,,
25,1.250000e-02,0.0000000000e+00,7.2272037197e-02,0.0026,59,59,59,2.263e-18,5.011e-04,8.620e-09,8.620e-09,-6.035713e+00,8.279175e+00,,,
30,1.500000e-02,0.0000000000e+00,6.4995557309e-02,0.0030,58,58,58,5.883e-17,4.490e-04,9.009e-09,9.010e-09,-6.019841e+00,9.163336e+00,,,
35,1.750000e-02,0.0000000000e+00,5.9754853692e-02,0.0032,58,58,58,2.346e-18,4.117e-04,7.464e-09,7.464e-09,-6.008138e+00,9.921161e+00,,,
39,1.950000e-02,0.0000000000e+00,5.6523139890e-02,0.0033,57,57,57,5.093e-17,3.889e-04,8.785e-09,8.787e-09,-6.000685e+00,1.043516e+01,,,
