step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,33,33,33,1.632e-17,1.632e-17,9.185e-09,9.185e-09,-4.410108e-07,3.529567e-01,,,
5,2.500000e-03,0.0000000000e+00,5.6738580155e-04,0.0173,31,31,31,5.444e-17,4.286e-17,6.934e-09,6.935e-09,-7.945220e-03,1.403067e+00,,,
10,5.000000e-03,0.0000000000e+00,7.0974434178e-05,0.1248,30,30,30,6.850e-17,6.352e-17,8.225e-09,8.225e-09,-1.908237e-04,1.995648e+00,,,
15,7.500000e-03,0.0000000000e+00,3.1162286165e-05,0.2334,30,30,30,7.757e-17,7.757e-17,5.775e-09,5.775e-09,-3.693181e-04,2.437533e+00,,,
20,1.000000e-02,0.0000000000e+00,1.7253716438e-05,0.3476,29,29,29,7.869e-17,8.681e-17,8.793e-09,8.793e-09,-7.925553e-04,2.776409e+00,,,
25,1.250000e-02,0.0000000000e+00,1.0783333368e-05,0.4593,29,29,29,1.867e-17,6.841e-17,6.984e-09,6.984e-09,-1.002940e-03,3.037934e+00,,,
30,1.500000e-02,0.0000000000e+00,7.3232795686e-06,0.5590,29,29,29,5.307e-17,3.861e-17,5.703e-09,5.703e-09,-1.509427e-03,3.247411e+00,,,
35,1.750000e-02,0.0000000000e+00,5.2894118915e-06,0.6410,28,28,28,8.852e-17,4.146e-17,9.643e-09,9.643e-09,-1.013220e-03,3.419884e+00,,,
39,1.950000e-02,0.0000000000e+00,4.2184485488e-06,0.6905,28,28,28,1.060e-16,8.347e-17,8.449e-09,8.449e-09,-1.276828e-03,3.537734e+00,,,
