step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,18,18,18,5.186e-17,5.186e-17,8.054e-09,8.054e-09,-5.181260e-10,4.009664e-01,,,
5,2.500000e-03,0.0000000000e+00,4.2758855125e+12,0.0057,17,17,18,1.010e-16,6.368e-03,8.044e-09,6.877e-09,-9.458897e+12,1.308990e+14,,,
10,5.000000e-03,0.0000000000e+00,2.6814674759e+12,0.0125,17,17,16,5.121e-17,6.365e-03,4.987e-09,7.064e-09,-1.287724e+13,1.296955e+14,,,
15,7.500000e-03,0.0000000000e+00,2.0533852951e+12,0.0198,17,17,16,4.301e-17,6.340e-03,3.581e-09,3.836e-09,-1.332788e+13,1.294921e+14,,,
20,1.000000e-02,0.0000000000e+00,1.7116271135e+12,0.0252,16,16,15,2.137e-17,6.328e-03,8.050e-09,6.661e-09,-1.347540e+13,1.294184e+14,,,
25,1.250000e-02,0.0000000000e+00,1.4943734740e+12,0.0299,16,16,15,1.102e-16,6.320e-03,6.547e-09,4.110e-09,-1.354066e+13,1.293854e+14,,,
30,1.500000e-02,0.0000000000e+00,1.3429846684e+12,0.0338,16,16,14,2.048e-17,6.315e-03,5.486e-09,8.844e-09,-1.357422e+13,1.293688e+14,,,
35,1.750000e-02,0.0000000000e+00,1.2309560169e+12,0.0368,16,16,14,6.607e-17,6.311e-03,4.690e-09,7.050e-09,-1.359322e+13,1.293600e+14,,,
39,1.950000e-02,0.0000000000e+00,1.1601772808e+12,0.0391,16,16,14,9.382e-17,6.309e-03,4.180e-09,5.902e-09,-1.360285e+13,1.293557e+14,,,
