step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,31,31,31,9.163e-18,9.163e-18,7.444e-09,7.444e-09,-2.642014e-07,4.427835e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,29,29,29,1.841e-17,1.841e-17,6.792e-09,6.792e-09,-2.988461e-05,2.142645e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,29,29,29,5.707e-17,5.707e-17,6.125e-09,6.125e-09,-1.382189e-04,3.387267e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,28,28,28,8.443e-17,8.443e-17,9.026e-09,9.026e-09,-1.818067e-04,4.287624e+00,,,
20,1.000000e-02,0.0000000000e+00,1.7229654243e+00,0.0017,28,28,500,6.918e-17,3.992e-03,8.029e-09,9.992e-03,-1.364069e+02,1.031941e+01,,,
25,1.250000e-02,0.0000000000e+00,1.4264921834e+00,0.0055,28,28,28,5.982e-17,5.868e-03,7.069e-09,7.142e-09,-1.274342e+02,1.590865e+01,,,
30,1.500000e-02,0.0000000000e+00,1.2900438032e+00,0.0095,28,28,27,5.280e-17,5.616e-03,6.192e-09,9.742e-09,-1.266019e+02,1.902987e+01,,,
35,1.750000e-02,0.0000000000e+00,1.1871428469e+00,0.0127,27,27,27,1.289e-17,5.405e-03,8.814e-09,8.382e-09,-1.262354e+02,2.019083e+01,,,
39,1.950000e-02,0.0000000000e+00,1.1214860389e+00,0.0150,27,27,27,9.178e-17,5.259e-03,7.958e-09,7.542e-09,-1.260489e+02,2.068829e+01,,,
