step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,33,33,33,1.396e-17,1.396e-17,9.185e-09,9.185e-09,-4.410108e-07,3.529567e-01,,,
5,2.500000e-03,0.0000000000e+00,9.3135063607e+02,0.0055,31,31,30,2.866e-17,4.630e-03,6.934e-09,9.526e-09,-2.639051e+04,9.482932e+02,,,
10,5.000000e-03,0.0000000000e+00,6.0099811270e+02,0.0151,30,30,28,6.850e-17,4.402e-03,8.225e-09,7.023e-09,-2.668701e+04,9.657247e+02,,,
15,7.500000e-03,0.0000000000e+00,4.6438016767e+02,0.0201,30,30,27,4.762e-17,4.377e-03,5.775e-09,6.961e-09,-2.671867e+04,9.537884e+02,,,
20,1.000000e-02,0.0000000000e+00,3.8913714061e+02,0.0234,29,29,26,8.681e-17,4.369e-03,8.793e-09,6.519e-09,-2.672792e+04,9.495320e+02,,,
25,1.250000e-02,0.0000000000e+00,3.4108955788e+02,0.0262,29,29,25,2.622e-17,4.365e-03,6.984e-09,7.614e-09,-2.673153e+04,9.478622e+02,,,
30,1.500000e-02,0.0000000000e+00,3.0760643236e+02,0.0284,29,29,24,5.307e-17,4.363e-03,5.703e-09,9.112e-09,-2.673312e+04,9.472084e+02,,,
35,1.750000e-02,0.0000000000e+00,2.8289976273e+02,0.0305,28,28,24,8.852e-17,4.361e-03,9.643e-09,7.455e-09,-2.673386e+04,9.469897e+02,,,
39,1.950000e-02,0.0000000000e+00,2.6735779658e+02,0.0318,28,28,24,8.347e-17,4.360e-03,8.449e-09,6.997e-09,-2.673417e+04,9.469600e+02,,,
