step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,18,18,18,1.013e-17,1.013e-17,4.434e-09,4.434e-09,0.000000e+00,4.369245e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,4.396e-17,4.396e-17,8.327e-09,8.327e-09,0.000000e+00,2.058178e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,5.444e-17,5.444e-17,6.450e-09,6.450e-09,0.000000e+00,3.095196e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,16,16,16,6.453e-17,6.453e-17,5.038e-09,5.038e-09,0.000000e+00,3.812196e+00,,,
20,1.000000e-02,0.0000000000e+00,1.0478263533e-03,0.0044,16,16,16,2.905e-17,1.153e-05,4.102e-09,2.142e-03,0.000000e+00,4.342355e+00,,,
25,1.250000e-02,0.0000000000e+00,7.3132985948e-05,0.0982,15,15,15,8.347e-17,9.747e-17,9.831e-09,9.830e-09,0.000000e+00,4.753899e+00,,,
30,1.500000e-02,0.0000000000e+00,4.1290965035e-05,0.1875,15,15,15,9.259e-17,5.107e-17,8.453e-09,8.453e-09,0.000000e+00,5.085074e+00,,,
35,1.750000e-02,0.0000000000e+00,2.7767133364e-05,0.2741,15,15,15,9.309e-17,7.923e-17,7.376e-09,7.376e-09,0.000000e+00,5.358978e+00,,,
39,1.950000e-02,0.0000000000e+00,2.1314241262e-05,0.3421,15,15,15,7.440e-17,1.749e-16,6.666e-09,6.666e-09,0.000000e+00,5.546990e+00,,,
