step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,18,18,18,5.186e-17,5.186e-17,8.054e-09,8.054e-09,-5.181260e-10,4.009664e-01,,,
5,2.500000e-03,0.0000000000e+00,1.6000604712e-17,0.0193,17,17,17,1.010e-16,1.010e-16,8.044e-09,8.044e-09,-4.210618e-08,1.657384e+00,,,
10,5.000000e-03,0.0000000000e+00,1.6991140489e-16,0.2372,17,17,17,5.121e-17,1.963e-17,4.987e-09,4.987e-09,-1.081558e-08,2.400569e+00,,,
15,7.500000e-03,0.0000000000e+00,1.7536910756e-16,0.3005,17,17,17,4.301e-17,2.137e-17,3.581e-09,3.581e-09,0.000000e+00,2.913621e+00,,,
20,1.000000e-02,0.0000000000e+00,1.6947654828e-16,0.3027,16,16,16,2.137e-17,1.523e-17,8.050e-09,8.050e-09,0.000000e+00,3.298753e+00,,,
25,1.250000e-02,0.0000000000e+00,1.5855314342e-16,0.3896,16,16,16,1.102e-16,1.102e-16,6.547e-09,6.547e-09,0.000000e+00,3.603010e+00,,,
30,1.500000e-02,0.0000000000e+00,1.5649939875e-16,0.4265,16,16,16,2.048e-17,2.048e-17,5.486e-09,5.486e-09,0.000000e+00,3.851843e+00,,,
35,1.750000e-02,0.0000000000e+00,1.5761547948e-16,0.4058,16,16,16,6.607e-17,9.979e-17,4.690e-09,4.690e-09,0.000000e+00,4.060511e+00,,,
39,1.950000e-02,0.0000000000e+00,1.5840450247e-16,0.4599,16,16,16,9.382e-17,9.382e-17,4.180e-09,4.180e-09,0.000000e+00,4.205241e+00,,,
