step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,70,70,70,2.120e-18,2.120e-18,9.201e-09,9.201e-09,-4.926940e-04,4.708174e-01,,,
5,2.500000e-03,0.0000000000e+00,3.2845699910e-12,0.0527,69,69,69,5.519e-17,2.165e-18,9.169e-09,9.169e-09,-4.177142e-03,2.432940e+00,,,
10,5.000000e-03,0.0000000000e+00,1.6601310480e-12,0.0618,63,63,63,2.052e-18,6.284e-17,9.641e-09,9.641e-09,-1.355075e-02,4.315238e+00,,,
15,7.500000e-03,0.0000000000e+00,1.2410008861e-12,0.0730,60,60,60,2.562e-18,4.638e-17,9.917e-09,9.917e-09,-1.764999e-02,5.900521e+00,,,
20,1.000000e-02,0.0000000000e+00,1.0355223482e-12,0.0801,60,60,60,2.247e-18,7.592e-17,8.321e-09,8.321e-09,-1.442567e-02,7.206710e+00,,,
25,1.250000e-02,0.0000000000e+00,8.7296990436e-13,0.0860,59,59,59,1.984e-18,2.145e-18,8.620e-09,8.620e-09,-1.786974e-02,8.279175e+00,,,
30,1.500000e-02,0.0000000000e+00,8.0825533957e-13,0.0871,58,58,58,2.254e-18,2.041e-18,9.009e-09,9.009e-09,-2.448659e-02,9.163336e+00,,,
35,1.750000e-02,0.0000000000e+00,7.4500358375e-13,0.0888,58,58,58,2.548e-18,3.316e-18,7.464e-09,7.464e-09,-2.866037e-02,9.921161e+00,,,
39,1.950000e-02,0.0000000000e+00,6.8768177817e-13,0.0903,57,57,57,1.752e-18,5.093e-17,8.785e-09,8.785e-09,-2.969666e-02,1.043516e+01,,,
