step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,18,18,18,2.593e-17,2.593e-17,8.054e-09,8.054e-09,-5.181260e-10,4.009664e-01,,,
5,2.500000e-03,0.0000000000e+00,6.0097598668e-07,0.0225,17,17,17,5.048e-17,4.466e-17,8.044e-09,8.044e-09,-4.210615e-08,1.657384e+00,,,
10,5.000000e-03,0.0000000000e+00,8.6274492430e-08,0.1079,17,17,17,5.121e-17,1.158e-16,4.987e-09,4.987e-09,-1.081558e-08,2.400569e+00,,,
15,7.500000e-03,0.0000000000e+00,3.5469578940e-08,0.1980,17,17,17,2.137e-17,2.137e-17,3.581e-09,3.581e-09,0.000000e+00,2.913621e+00,,,
20,1.000000e-02,0.0000000000e+00,1.9583214499e-08,0.2934,16,16,16,9.950e-17,9.950e-17,8.050e-09,8.050e-09,0.000000e+00,3.298753e+00,,,
25,1.250000e-02,0.0000000000e+00,1.2419241639e-08,0.3844,16,16,16,6.116e-17,6.116e-17,6.547e-09,6.547e-09,0.000000e+00,3.603010e+00,,,
30,1.500000e-02,0.0000000000e+00,8.5663579503e-09,0.4679,16,16,16,2.048e-17,2.421e-16,5.486e-09,5.486e-09,0.000000e+00,3.851843e+00,,,
35,1.750000e-02,0.0000000000e+00,6.2588442597e-09,0.5466,16,16,16,2.228e-17,6.607e-17,4.690e-09,4.690e-09,0.000000e+00,4.060511e+00,,,
39,1.950000e-02,0.0000000000e+00,5.0211531217e-09,0.6062,16,16,16,7.069e-17,8.301e-17,4.180e-09,4.180e-09,0.000000e+00,4.205241e+00,,,
