sigma,n,contrast_kmax_kmin,mean_cg_iters,p_not_benign,ci_lo,ci_hi,E_max_median
0.5,144,40.6,16.5,0.819,0.749,0.874,2.181e-07
1.0,144,1.65e+03,29.6,0.799,0.726,0.856,4.888e-06
2.0,144,2.76e+06,70.4,0.958,0.912,0.981,4.902e-07
