step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,80,80,80,2.363e-17,2.363e-17,7.977e-09,7.977e-09,-8.914461e-04,2.848874e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,74,74,74,1.903e-17,1.903e-17,8.577e-09,8.577e-09,-8.781968e-03,1.275382e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,73,73,73,2.184e-17,2.184e-17,6.836e-09,6.836e-09,-1.733936e-02,1.885670e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,71,71,71,2.321e-17,2.321e-17,9.555e-09,9.555e-09,-2.323380e-02,2.475218e+00,,,
20,1.000000e-02,0.0000000000e+00,1.4249816358e+05,0.0009,70,70,500,1.532e-17,9.300e-04,8.616e-09,5.335e+02,-7.269203e+06,1.243992e+06,,,
25,1.250000e-02,0.0000000000e+00,1.3840984231e+05,0.0017,69,69,59,9.511e-17,4.706e-03,8.101e-09,8.514e-09,-7.994540e+06,2.628075e+05,,,
30,1.500000e-02,0.0000000000e+00,1.2898863651e+05,0.0021,67,67,57,1.798e-17,4.629e-03,9.918e-09,8.378e-09,-8.078725e+06,2.275676e+05,,,
35,1.750000e-02,0.0000000000e+00,1.2163071009e+05,0.0021,67,67,54,8.139e-17,4.600e-03,7.707e-09,8.545e-09,-8.108559e+06,2.252591e+05,,,
39,1.950000e-02,0.0000000000e+00,1.1699581592e+05,0.0021,66,66,53,7.794e-17,4.587e-03,8.793e-09,9.898e-09,-8.120587e+06,2.227686e+05,,,
