step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,33,33,33,1.396e-17,1.396e-17,9.185e-09,9.185e-09,-4.410108e-07,3.529567e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,31,31,31,2.866e-17,2.866e-17,6.934e-09,6.934e-09,-3.253571e-05,1.403067e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,30,30,30,6.850e-17,6.850e-17,8.225e-09,8.225e-09,-1.908237e-04,1.995649e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,30,30,30,4.762e-17,4.762e-17,5.775e-09,5.775e-09,-3.693181e-04,2.437534e+00,,,
20,1.000000e-02,0.0000000000e+00,4.9118175023e+13,0.0221,29,29,500,8.681e-17,4.624e-03,8.793e-09,4.403e+12,-3.390655e+15,2.852587e+14,,,
25,1.250000e-02,0.0000000000e+00,4.4669987166e+13,0.0467,29,29,30,2.622e-17,5.676e-03,6.984e-09,5.777e-09,-3.391477e+15,3.554187e+14,,,
30,1.500000e-02,0.0000000000e+00,4.0712041219e+13,0.0697,29,29,28,5.307e-17,5.604e-03,5.703e-09,8.215e-09,-3.390748e+15,3.582436e+14,,,
35,1.750000e-02,0.0000000000e+00,3.7683064817e+13,0.0870,28,28,28,8.852e-17,5.564e-03,9.643e-09,6.718e-09,-3.389964e+15,3.596832e+14,,,
39,1.950000e-02,0.0000000000e+00,3.5745008079e+13,0.0985,28,28,27,8.347e-17,5.541e-03,8.449e-09,9.614e-09,-3.389478e+15,3.604465e+14,,,
