step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,33,33,33,1.632e-17,1.632e-17,9.185e-09,9.185e-09,-4.410108e-07,3.529567e-01,,,
5,2.500000e-03,0.0000000000e+00,1.3165896340e-04,0.0356,31,31,31,5.444e-17,1.092e-17,6.934e-09,6.935e-09,-3.253571e-05,1.403067e+00,,,
10,5.000000e-03,0.0000000000e+00,2.4473703390e-05,0.1638,30,30,30,6.850e-17,5.000e-17,8.225e-09,8.225e-09,-1.908238e-04,1.995649e+00,,,
15,7.500000e-03,0.0000000000e+00,1.0740251554e-05,0.2737,30,30,30,7.757e-17,3.159e-17,5.775e-09,5.775e-09,-3.693181e-04,2.437534e+00,,,
20,1.000000e-02,0.0000000000e+00,6.0698937378e-06,0.3891,29,29,29,7.869e-17,8.681e-17,8.793e-09,8.793e-09,-7.925553e-04,2.776410e+00,,,
25,1.250000e-02,0.0000000000e+00,3.8899328970e-06,0.4908,29,29,29,1.867e-17,1.935e-17,6.984e-09,6.984e-09,-1.002940e-03,3.037937e+00,,,
30,1.500000e-02,0.0000000000e+00,2.6879110084e-06,0.5802,29,29,29,5.307e-17,6.136e-17,5.703e-09,5.703e-09,-1.509427e-03,3.247414e+00,,,
35,1.750000e-02,0.0000000000e+00,1.9536458651e-06,0.6513,28,28,28,8.852e-17,1.124e-16,9.643e-09,9.643e-09,-1.013222e-03,3.419888e+00,,,
39,1.950000e-02,0.0000000000e+00,1.5547507744e-06,0.6956,28,28,28,1.060e-16,8.347e-17,8.449e-09,8.449e-09,-1.276830e-03,3.537738e+00,,,
