step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,80,80,80,2.363e-17,2.363e-17,7.977e-09,7.977e-09,-8.914461e-04,2.848874e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,74,74,74,1.903e-17,1.903e-17,8.577e-09,8.577e-09,-8.781968e-03,1.275382e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,73,73,73,2.184e-17,2.184e-17,6.836e-09,6.836e-09,-1.733936e-02,1.885670e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,71,71,71,2.321e-17,2.321e-17,9.555e-09,9.555e-09,-2.323380e-02,2.475218e+00,,,
20,1.000000e-02,0.0000000000e+00,4.5000286532e+15,0.2162,70,70,143,1.532e-17,1.049e-03,8.616e-09,2.039e+15,-2.158224e+17,5.583434e+16,,,
25,1.250000e-02,0.0000000000e+00,4.9049026493e+15,0.0235,69,69,72,9.511e-17,4.752e-03,8.101e-09,9.099e-09,-2.823006e+17,1.103349e+16,,,
30,1.500000e-02,0.0000000000e+00,4.5991626880e+15,0.0091,67,67,63,1.798e-17,4.627e-03,9.918e-09,7.848e-09,-2.874962e+17,8.183729e+15,,,
35,1.750000e-02,0.0000000000e+00,4.3387606241e+15,0.0078,67,67,60,8.139e-17,4.594e-03,7.707e-09,8.048e-09,-2.888047e+17,8.050556e+15,,,
39,1.950000e-02,0.0000000000e+00,4.1730086895e+15,0.0074,66,66,62,7.794e-17,4.581e-03,8.793e-09,8.368e-09,-2.892611e+17,7.951897e+15,,,
