step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,18,18,18,2.737e-17,2.737e-17,4.434e-09,4.434e-09,0.000000e+00,4.369245e-01,,,
5,2.500000e-03,0.0000000000e+00,1.7770878056e-18,0.0061,16,16,16,4.855e-17,4.855e-17,8.327e-09,8.327e-09,0.000000e+00,2.058178e+00,,,
10,5.000000e-03,0.0000000000e+00,1.7467689985e-16,0.2132,16,16,16,1.089e-16,5.494e-17,6.450e-09,6.450e-09,0.000000e+00,3.095196e+00,,,
15,7.500000e-03,0.0000000000e+00,1.7209873969e-16,0.2283,16,16,16,3.451e-17,4.055e-17,5.038e-09,5.038e-09,0.000000e+00,3.812196e+00,,,
20,1.000000e-02,0.0000000000e+00,1.7696360073e-16,0.2775,16,16,16,5.646e-17,5.646e-17,4.102e-09,4.102e-09,0.000000e+00,4.342355e+00,,,
25,1.250000e-02,0.0000000000e+00,1.7016039495e-16,0.3166,15,15,15,8.347e-17,9.747e-17,9.831e-09,9.831e-09,0.000000e+00,4.753899e+00,,,
30,1.500000e-02,0.0000000000e+00,1.7009214766e-16,0.3466,15,15,15,9.259e-17,9.259e-17,8.453e-09,8.453e-09,0.000000e+00,5.085075e+00,,,
35,1.750000e-02,0.0000000000e+00,1.6976096809e-16,0.3819,15,15,15,1.017e-16,1.429e-17,7.376e-09,7.376e-09,0.000000e+00,5.358980e+00,,,
39,1.950000e-02,0.0000000000e+00,1.7048019189e-16,0.3402,15,15,15,7.440e-17,4.059e-17,6.666e-09,6.666e-09,0.000000e+00,5.546994e+00,,,
