step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,33,33,33,1.396e-17,1.396e-17,9.185e-09,9.185e-09,-4.410108e-07,3.529567e-01,,,
5,2.500000e-03,0.0000000000e+00,3.7560251453e+11,0.0045,31,31,30,2.866e-17,6.412e-03,6.934e-09,6.038e-09,-8.781194e+11,1.056276e+13,,,
10,5.000000e-03,0.0000000000e+00,2.3990782190e+11,0.0159,30,30,27,6.850e-17,6.358e-03,8.225e-09,9.879e-09,-1.139418e+12,1.048869e+13,,,
15,7.500000e-03,0.0000000000e+00,1.8533063513e+11,0.0257,30,30,27,4.762e-17,6.327e-03,5.775e-09,6.719e-09,-1.163835e+12,1.048126e+13,,,
20,1.000000e-02,0.0000000000e+00,1.5537129269e+11,0.0338,29,29,26,8.681e-17,6.312e-03,8.793e-09,9.492e-09,-1.169659e+12,1.047995e+13,,,
25,1.250000e-02,0.0000000000e+00,1.3625802708e+11,0.0396,29,29,26,2.622e-17,6.303e-03,6.984e-09,7.548e-09,-1.171512e+12,1.047996e+13,,,
30,1.500000e-02,0.0000000000e+00,1.2293896692e+11,0.0450,29,29,26,5.307e-17,6.297e-03,5.703e-09,6.004e-09,-1.172172e+12,1.048029e+13,,,
35,1.750000e-02,0.0000000000e+00,1.1310754669e+11,0.0491,28,28,25,8.852e-17,6.292e-03,9.643e-09,8.286e-09,-1.172409e+12,1.048064e+13,,,
39,1.950000e-02,0.0000000000e+00,1.0692014113e+11,0.0517,28,28,25,8.347e-17,6.290e-03,8.449e-09,6.990e-09,-1.172474e+12,1.048090e+13,,,
