step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,33,33,33,1.632e-17,1.632e-17,9.185e-09,9.185e-09,-4.410108e-07,3.529567e-01,,,
5,2.500000e-03,0.0000000000e+00,1.0326193207e-06,0.0356,31,31,31,5.444e-17,2.988e-17,6.934e-09,6.934e-09,-3.253571e-05,1.403067e+00,,,
10,5.000000e-03,0.0000000000e+00,1.9195061479e-07,0.1638,30,30,30,6.850e-17,6.352e-17,8.225e-09,8.225e-09,-1.908237e-04,1.995649e+00,,,
15,7.500000e-03,0.0000000000e+00,8.4237267051e-08,0.2737,30,30,30,7.757e-17,4.762e-17,5.775e-09,5.775e-09,-3.693181e-04,2.437534e+00,,,
20,1.000000e-02,0.0000000000e+00,4.7607009672e-08,0.3891,29,29,29,7.869e-17,6.194e-17,8.793e-09,8.793e-09,-7.925553e-04,2.776410e+00,,,
25,1.250000e-02,0.0000000000e+00,3.0509277589e-08,0.4908,29,29,29,1.867e-17,2.622e-17,6.984e-09,6.984e-09,-1.002940e-03,3.037936e+00,,,
30,1.500000e-02,0.0000000000e+00,2.1081654942e-08,0.5802,29,29,29,5.307e-17,4.831e-17,5.703e-09,5.703e-09,-1.509427e-03,3.247413e+00,,,
35,1.750000e-02,0.0000000000e+00,1.5322712645e-08,0.6513,28,28,28,8.852e-17,1.479e-17,9.643e-09,9.643e-09,-1.013220e-03,3.419886e+00,,,
39,1.950000e-02,0.0000000000e+00,1.2194123698e-08,0.6956,28,28,28,1.060e-16,2.121e-16,8.449e-09,8.449e-09,-1.276828e-03,3.537737e+00,,,
