step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,31,31,31,9.163e-18,9.163e-18,7.444e-09,7.444e-09,-2.642014e-07,4.427835e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,29,29,29,1.841e-17,1.841e-17,6.792e-09,6.792e-09,-2.988461e-05,2.142645e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,29,29,29,5.707e-17,5.707e-17,6.125e-09,6.125e-09,-1.382189e-04,3.387267e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,28,28,28,8.443e-17,8.443e-17,9.026e-09,9.026e-09,-1.818067e-04,4.287624e+00,,,
20,1.000000e-02,0.0000000000e+00,1.7644461047e+04,0.0012,28,28,500,6.918e-17,3.985e-03,8.029e-09,2.157e+00,-1.390595e+06,1.189865e+05,,,
25,1.250000e-02,0.0000000000e+00,1.3566190448e+04,0.0028,28,28,22,5.982e-17,7.587e-03,7.069e-09,9.852e-09,-1.237058e+06,9.951608e+04,,,
30,1.500000e-02,0.0000000000e+00,1.2094202349e+04,0.0043,28,28,22,5.280e-17,7.669e-03,6.192e-09,9.432e-09,-1.218350e+06,1.245987e+05,,,
35,1.750000e-02,0.0000000000e+00,1.1065931674e+04,0.0056,27,27,22,1.289e-17,7.684e-03,8.814e-09,6.763e-09,-1.211095e+06,1.345149e+05,,,
39,1.950000e-02,0.0000000000e+00,1.0427497260e+04,0.0068,27,27,22,9.178e-17,7.687e-03,7.958e-09,6.437e-09,-1.208199e+06,1.392094e+05,,,
