step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,18,18,18,2.593e-17,2.593e-17,8.054e-09,8.054e-09,-5.181260e-10,4.009664e-01,,,
5,2.500000e-03,0.0000000000e+00,2.2830548041e-05,0.0198,17,17,17,5.048e-17,5.048e-17,8.044e-09,8.045e-09,-4.209787e-08,1.657384e+00,,,
10,5.000000e-03,0.0000000000e+00,4.8143651484e-06,0.1422,17,17,17,5.121e-17,7.747e-17,4.987e-09,4.987e-09,-1.081405e-08,2.400569e+00,,,
15,7.500000e-03,0.0000000000e+00,2.4435901688e-06,0.2721,17,17,17,2.137e-17,4.301e-17,3.581e-09,3.581e-09,0.000000e+00,2.913621e+00,,,
20,1.000000e-02,0.0000000000e+00,1.5239701937e-06,0.3964,16,16,16,9.950e-17,7.066e-17,8.050e-09,8.050e-09,0.000000e+00,3.298753e+00,,,
25,1.250000e-02,0.0000000000e+00,1.0540910548e-06,0.5029,16,16,16,6.116e-17,6.116e-17,6.547e-09,6.547e-09,0.000000e+00,3.603010e+00,,,
30,1.500000e-02,0.0000000000e+00,7.7823956040e-07,0.5931,16,16,16,2.048e-17,1.460e-17,5.486e-09,5.486e-09,0.000000e+00,3.851843e+00,,,
35,1.750000e-02,0.0000000000e+00,6.0135268572e-07,0.6677,16,16,16,2.228e-17,9.979e-17,4.690e-09,4.690e-09,0.000000e+00,4.060510e+00,,,
39,1.950000e-02,0.0000000000e+00,5.0139725861e-07,0.7142,16,16,16,7.069e-17,8.301e-17,4.180e-09,4.180e-09,0.000000e+00,4.205240e+00,,,
