step,t,E_noise_floor,E_fault,spread_F,cg_A,cg_B,cg_F,d1_abft_A,d1_abft_F,d2_resid_A,d2_resid_F,d3_tmin_F,d3_tmax_F,hyb_block_err_A,hyb_block_err_F,hyb_d4_F
0,0.000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000,80,80,80,2.363e-17,2.363e-17,7.977e-09,7.977e-09,-8.914461e-04,2.848874e-01,,,
5,2.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,74,74,74,1.903e-17,1.903e-17,8.577e-09,8.577e-09,-8.781968e-03,1.275382e+00,,,
10,5.000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,73,73,73,2.184e-17,2.184e-17,6.836e-09,6.836e-09,-1.733936e-02,1.885670e+00,,,
15,7.500000e-03,0.0000000000e+00,0.0000000000e+00,0.0000,71,71,71,2.321e-17,2.321e-17,9.555e-09,9.555e-09,-2.323380e-02,2.475218e+00,,,
20,1.000000e-02,0.0000000000e+00,9.2247790413e+10,0.0056,70,70,500,1.532e-17,1.745e-03,8.616e-09,6.802e+09,-4.496374e+12,6.680206e+11,,,
25,1.250000e-02,0.0000000000e+00,8.4659579133e+10,0.0285,69,69,66,9.511e-17,9.386e-03,8.101e-09,9.884e-09,-4.067511e+12,1.508084e+12,,,
30,1.500000e-02,0.0000000000e+00,8.0003803410e+10,0.0400,67,67,64,1.798e-17,9.082e-03,9.918e-09,8.279e-09,-4.047056e+12,1.621112e+12,,,
35,1.750000e-02,0.0000000000e+00,7.5914775437e+10,0.0484,67,67,61,8.139e-17,8.959e-03,7.707e-09,8.937e-09,-4.041056e+12,1.653847e+12,,,
39,1.950000e-02,0.0000000000e+00,7.3213933650e+10,0.0519,66,66,60,7.794e-17,8.907e-03,8.793e-09,8.347e-09,-4.038868e+12,1.665242e+12,,,
